group,names,scores,logfoldchanges,pvals,pvals_adj
3,2610035D17Rik,0.20855553,0.44744965,0.8347952270705457,1.0
3,Upp1,0.2079013,0.52760714,0.8353060359374659,1.0
3,4933415A04Rik,0.20575686,1.6504127,0.8369808399080625,1.0
3,Gm4890,0.20561148,1.6963261,0.83709441277725,1.0
3,Ccl17,0.20524801,0.46198663,0.8373783597986504,1.0
3,Card11,0.20502993,1.1258992,0.8375487381817749,1.0
3,Art4,0.2039032,0.89558804,0.8384291476853883,1.0
3,Gimap4,0.20339435,1.0434015,0.8388268183499538,1.0
3,Serpinb6a,0.20157702,0.22008403,0.840247406031523,1.0
3,Grina,0.19968702,0.13777284,0.8417253693017306,1.0
3,Prg3,0.1978697,23.119492,0.8431470140223774,1.0
3,Prox2,0.19619776,1.6163487,0.8444553788556928,1.0
3,Rad9b,0.19336274,0.65543234,0.8466748896979767,1.0
3,Tubb3,0.19234505,0.42498723,0.8474719349335617,1.0
3,Nyap1,0.1917635,0.83278185,0.8479274594620096,1.0
3,C030037D09Rik,0.19161811,0.72545195,0.8480413485377727,1.0
3,Hbp1,0.191291,0.0626959,0.8482976105553406,1.0
3,Cd59a,0.18936464,0.4114867,0.8498070335031396,1.0
3,Tshz1,0.18914656,-0.0060796845,0.8499779463747511,1.0
3,Dnase2b,0.18783809,4.821483,0.8510035713819221,1.0
3,Skap1,0.1877654,4.7593646,0.8510605579567263,1.0
3,4930503B20Rik,0.18769272,3.9858618,0.8511175453093563,1.0
3,Fam110c,0.18612981,1.7201072,0.8523429609769129,1.0
3,Fscn1,0.18496673,0.048907258,0.8532551297634943,1.0
3,Gm10797,0.18300402,0.950697,0.8547948590009302,1.0
3,Pard6g,0.17936939,0.10253672,0.8576476657719005,1.0
3,Epb41l1,0.17918766,0.021946367,0.857790355251121,1.0
3,Shb,0.17784284,0.48160693,0.8588464015121908,1.0
3,Glt28d2,0.17773381,3.3830853,0.858932037980416,1.0
3,4933427D06Rik,0.17758842,2.9673321,0.85904622251955,1.0
3,Lemd1,0.17642534,1.7482401,0.8599598047694355,1.0
3,Rem2,0.17548032,1.142915,0.8607022284523413,1.0
3,Gfod2,0.17548032,0.32593116,0.8607022284523413,1.0
3,Rgs11,0.17482609,0.46822414,0.8612162862448105,1.0
3,Hba-a2,0.17468071,0.1999273,0.8613305293024878,1.0
3,Cyp4f18,0.17438993,1.0746689,0.8615590241195774,1.0
3,Epb41l3,0.17104606,0.20339489,0.8641875425962134,1.0
3,Exoc3l,0.16828375,0.4459558,0.866360062937053,1.0
3,Hao1,0.1677749,4.0531883,0.8667603747083519,1.0
3,Kcnn3,0.1677749,3.307087,0.8667603747083519,1.0
3,Mboat2,0.16733874,0.09293436,0.8671035262896165,1.0
3,Axl,0.16653912,0.28607807,0.8677327025265358,1.0
3,1700112J16Rik,0.16548507,1.0072384,0.8685621991638863,1.0
3,Pde11a,0.16548507,1.1705179,0.8685621991638863,1.0
3,Snn,0.16443102,-0.0032680572,0.8693918405018789,1.0
3,Scml4,0.1582885,0.004240598,0.8742294790463422,1.0
3,Hrc,0.15730713,2.1075187,0.8750027968007663,1.0
3,Phyhipl,0.1557079,1.3046974,0.8762632738102639,1.0
3,Fam171a2,0.15469019,0.586912,0.8770655591859945,1.0
3,Tgm2,0.15352711,0.3546355,0.8779826113788555,1.0
3,Glyctk,0.15338172,0.6787411,0.8780972544427438,1.0
3,Jup,0.15280019,0.6375882,0.878555852239728,1.0
3,Col4a1,0.15240037,0.30531806,0.8788711618740522,1.0
3,Sema7a,0.1520369,0.10085002,0.8791578236697124,1.0
3,S100a10,0.15112825,-0.02181316,0.8798745473838063,1.0
3,Rps6kl1,0.14742091,2.1403666,0.8827997940338173,1.0
3,Rnf149,0.14563994,-0.05533878,0.8842056306532897,1.0
3,Kcnq3,0.14469494,0.68253654,0.8849517331505824,1.0
3,Gm9958,0.1425505,0.5971705,0.8866451893219146,1.0
