group,names,scores,logfoldchanges,pvals,pvals_adj
0,SLC16A3,8.093575,0.4445015,5.793874788803731e-16,1.3108314001818395e-15
0,SERPINA11,8.046925,1.3776504,8.490052777382971e-16,1.9164904689352078e-15
0,IFI44L,7.9409156,0.38963532,2.0069448260608394e-15,4.4698103030308224e-15
0,CD48,7.869158,1.9921666,3.570364942428052e-15,7.856681860547214e-15
0,URAD,7.863501,1.8024634,3.735436021814285e-15,8.191745661873432e-15
0,DLL3,7.846143,0.30245435,4.290287002129741e-15,9.387936547329849e-15
0,CXCL12,7.8206477,0.44847038,5.255217089009633e-15,1.1449274703724691e-14
0,SDC2,7.8017397,0.21896444,6.1059447996385714e-15,1.324499956537651e-14
0,TYR,7.696467,2.7603223,1.3988000361522782e-14,3.014655250328185e-14
0,MFAP4,7.693561,0.5351802,1.430954815329376e-14,3.070718487831279e-14
0,SCGB1A1,7.5790277,1.9235461,3.481539641709814e-14,7.360548925390728e-14
0,CFC1,7.53168,2.570224,5.009153315688724e-14,1.0545585927765736e-13
0,GNAS,7.4553504,0.3043227,8.96292039808233e-14,1.859527053544052e-13
0,CRABP1,7.4227266,0.57373136,1.1473362126498737e-13,2.3754372932709603e-13
0,FGG,7.410638,0.6162994,1.256935726358214e-13,2.591620054346833e-13
0,LIMD1,7.402656,0.27097088,1.334872483348633e-13,2.7410112594427787e-13
0,IL11RA,7.3789434,0.4317193,1.5955059913807137e-13,3.2627934384063673e-13
0,SHOX,7.370187,0.39192447,1.703890723671413e-13,3.47732800749268e-13
0,RP11-407N17.5,7.36205,0.21429175,1.811068687378849e-13,3.688530931525151e-13
0,AMBP,7.352906,0.74983555,1.939431624820932e-13,3.941934196790512e-13
0,GABRB1,7.3499613,0.33639225,1.9826406935551495e-13,4.0215835569069967e-13
0,LAMP5,7.2970343,0.77618426,2.941796358776305e-13,5.929339205045338e-13
0,MEOX2,7.296802,0.3453904,2.946881584907533e-13,5.929339205045338e-13
0,SERTAD4,7.2768087,0.39611584,3.418087245278957e-13,6.849874239035986e-13
0,SPINK1,7.2340336,0.60671043,4.68856431472693e-13,9.358411805842176e-13
0,ADAMTSL1,7.169018,0.3285497,7.553784821544863e-13,1.4928428501076805e-12
0,IFI44,7.1670804,0.3517056,7.661410058212621e-13,1.5111262442233966e-12
0,NENF,7.158324,0.23194711,8.166952947608095e-13,1.6045094199622977e-12
0,DKK1,7.1524343,0.38300192,8.525233322215824e-13,1.6716143769050635e-12
0,GSTA2,7.1477847,0.7291607,8.818942693371141e-13,1.725820487939558e-12
0,PLD1,7.124305,0.2545317,1.0460739097422693e-12,2.0363084704849903e-12
0,C19orf45,7.089433,0.33618137,1.3466227386741218e-12,2.614801434318683e-12
